"Name","Category","Accounting Code","Item Count","On Inventory","Tax Exempt","Report By Unit","Latest Price"
"Mommenpop 'Seville Orange' Vermouth","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$24.70"
"Mommenpop Makrut Limepop Vermouth","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$24.70"
"Montenegro Amaro","Liquor","","1","Yes","No","Bottle (Liter)","$36.80"
"Nikka Coffey Grain Whiskey","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$52.20"
"Noilly Prat Dry Vermouth","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$14.09"
"Nonino Quintessentia Amaro","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$41.20"
"Nux Walnut Liqueur","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$36.50"
"Old Forester 1870 Bourbon","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$40.00"
"Old Forester 1897 Bourbon","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$46.42"
"Old Forester 1910 Old Fine Whisky","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$48.14"
"Ortolan Rosolio Liqueur","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$29.25"
"Paranubes Oaxacan Rum","Liquor","","1","Yes","No","Bottle (Liter)","$35.83"
"Perfect Puree, Sangria","Bar Consumables","","1","Yes","No","Bottle","$22.50"
"Puree, Lemon","Bar Consumables","","1","Yes","No","Fluid Ounce","$0.53"
"Real McCoy 3yr Rum","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$18.30"
"Redwood Empire Emerald Giant Rye Whiskey","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$31.50"
"Redwood Empire Pipe Dream Bourbon Blend","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$23.00"
"Ron del Barrilito 2 Star Rum","Liquor","","2","Yes","No","Bottle (750 Milliliters)","$33.29"
"Rothman & Winter Orchard Quince Liqueur","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$19.75"
"Rothman Winter Apricot Liqueur","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$26.75"
"Rothman Winter Creme de Violette","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$26.75"
"Rothman Winter Peach Liqueur","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$26.75"
"Sagamore Rye","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$19.99"
"Select Aperitivo","Liquor","","2","Yes","No","Bottle (Liter)","$25.50"
"Sipsmith Gin","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$28.70"
"Smith Cross Pot Stilll Rum","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$34.00"
"St George All Purpose Vodka","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$23.00"
"St George Terroir Gin","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$22.00"
"St Germain Elderflower Liqueur","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$28.79"
"Suntory Roku Gin","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$23.67"
"Taylor's Velvet Falernum Liqueur","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$21.92"
"Tempus Fugit Creme de Cacao Vanilla","Liquor","","1","Yes","No","Bottle (700 Milliliters)","$33.80"
"The Busker Triple Cask Smooth Irish Whiskey","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$22.79"
"Tia Maria","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$24.49"
"Weber Ranch 1902 Vodka","Liquor","","1","Yes","No","Bottle (Liter)","$25.19"
"Yamazaki 12yr Single Malt Japanese Whiskey","Liquor","","1","Yes","No","Bottle (750 Milliliters)","$142.19"
"Yzaguirre Rojo Vermouth","Liquor","","2","Yes","No","Bottle (Liter)","$13.50"
"Zucca Rabarbaro Amaro Liqueur","Liquor","","1","Yes","No","Bottle (700 Milliliters)","$27.55"
